Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Pangnirtung,2020,2020-08-06,SKIN,CM269,KW-2020-PG-08,KW-2020-PG-08,F,0,0,KW-2020-PG-08,0,ECAG1,,se,0.16,0.64,0.72,0.02,2.56,0.08,0.17,0.87,0.24,0.47,0.72,0.64,0.31,1.01,0.27
Pangnirtung,2020,2020-08-06,SKIN,CM270,KW-2020-PG-09,KW-2020-PG-09,F,1,0,KW-2020-PG-09,1,ECAG1,1,se,0.23,0.75,0,0.2,0.93,0.23,0.23,0.03,0,0.41,0.55,0.99,0.53,0.3,0.39
Pangnirtung,2020,2020-08-06,SKIN,CM271,KW-2020-PG-10,KW-2020-PG-10,M,0,0,KW-2020-PG-10,0,ECAG1,,se,0.3,0.19,0.4,0.05,1.95,0.03,0.08,0.46,0.48,0.28,0.31,0.4,0.38,0.79,0.01
Pangnirtung,2020,2020-08-06,SKIN,CM272,KW-2020-PG-11,KW-2020-PG-11,F,0,0,KW-2020-PG-11,1,ECAG1,1,se,0.17,0.6,0.55,0.36,2.12,0.21,0.23,0.05,0.74,0.2,0.6,0.59,0.34,0.25,0.26
Pangnirtung,2020,2020-08-06,SKIN,CM273,KW-2020-PG-12,KW-2020-PG-12,M,2,3,KW-2020-PG-01,1,ECAG1,,se,0.1,0.51,0.74,0.2,0.67,0.4,0.34,1.05,0.27,0.5,0.38,0.27,0.09,0.77,0.22
Pangnirtung,2020,2020-08-26,SKIN,CM274,KW-2020-PG-13,KW-2020-PG-13,M,0,0,KW-2020-PG-13,0,ECAG1,,se,0.27,0.27,0.01,0.1,0.35,0.08,0.08,0.49,0.16,0.16,0.1,0.35,0.36,0.07,0.26
Pangnirtung,2020,2020-08-26,SKIN,CM275,KW-2020-PG-14,KW-2020-PG-14,M,0,0,KW-2020-PG-14,0,ECAG1,,se,0.39,0.56,0.33,1.4,0.56,0.66,0.55,0.81,0.28,0.02,0.49,0.68,0.58,0.65,0.29
Pangnirtung,2020,2020-08-26,SKIN,CM276,KW-2020-PG-15,KW-2020-PG-15,F,0,0,KW-2020-PG-15,1,ECAG1,1,se,0.05,0.27,0.41,0.04,0.42,0.08,0.03,0.34,0.53,0.25,0.27,0.42,0.29,0.15,0.15
Pangnirtung,2020,2020-08-26,SKIN,CM277,KW-2020-PG-16,KW-2020-PG-16,F,0,0,KW-2020-PG-16,1,ECAG1,1,se,0.06,0.17,0.25,0.19,1.21,0.01,0.11,0.35,0.47,0.13,0.34,0.7,0.48,0.67,0.01
Pangnirtung,2020,2020-08-26,SKIN,CM278,KW-2020-PG-17,KW-2020-PG-17,M,1,0,KW-2020-PG-17,1,ECAG1,1,se,0.44,0,0.2,0.09,3.01,0.27,0.05,1.11,0.18,0.32,0.16,0.07,0.02,0.93,0.06
Pangnirtung,2020,2020-08-26,SKIN,CM279,KW-2020-PG-18,KW-2020-PG-18,F,2,3,ARPI4006,1,ECAG1,,se,0.09,0.07,0.11,0.25,1.71,0.11,0.25,0.71,0.03,0.25,0.03,0.11,0,0.63,0.13
Pangnirtung,2020,2020-08-26,SKIN,CM280,KW-2020-PG-19,KW-2020-PG-19,F,2,0,KW-2020-PG-09,1,ECAG1,,se,0.01,0.49,0.44,0.27,1.45,0.34,0.09,1.48,0.5,0.5,0.49,0.79,0.58,0.71,0.03
Pangnirtung,2020,2020-08-26,SKIN,CM281,KW-2020-PG-20,KW-2020-PG-20,M,2,0,KW-2020-PG-04,1,ECAG1,1,se,0.33,0.17,0.15,0.09,0.24,0.05,0.21,0.28,0.2,0.12,0.04,0.05,0.04,0.03,0.31
Pangnirtung,2020,2020-08-26,SKIN,CM282,KW-2020-PG-21,KW-2020-PG-21,F,0,2,ARPI4001,1,ECAG1,,se,0.17,0.19,0.12,0.07,0.68,0.09,0.1,0.04,0,0.16,0.08,0.1,0.09,0.2,0.07
Pangnirtung,2020,2020-08-26,SKIN,CM283,KW-2020-PG-22,KW-2020-PG-22,F,0,0,KW-2020-PG-22,1,ECAG1,1,se,0.21,0.37,0.18,0.66,2.4,0.28,0.34,0.32,0.13,0,0.13,0.13,0.02,0.24,0.17
Pangnirtung,2020,2020-08-30,SKIN,CM284,KW-2020-PG-23,KW-2020-PG-23,M,2,0,KW-2020-PG-17,1,ECAG1,,se,0.66,0.36,0.4,0.4,0.28,0.13,0.46,1.28,0.07,0.18,0.33,0.19,0.07,0.71,0.38
Pangnirtung,2020,2020-08-30,SKIN,CM285,KW-2020-PG-24,KW-2020-PG-24,M,0,0,KW-2020-PG-24,1,ECAG1,1,se,0.04,0.44,0.4,0.37,0.58,0.3,0.07,0.39,0.55,0.34,0.36,0.48,0.33,0.13,0.08
Mittimatalik,2020,2020-08-18,SKIN,CM286,KW-2020-PI-02,KW-2020-PI-02,F,0,0,KW-2020-PI-02,1,ECAG1,1,se,0,0.68,0.55,0.74,1.2,0.27,0.05,0.06,0.84,0.56,0.67,0.97,0.88,0.28,0.01
Mittimatalik,2020,2020-08-27,SKIN,CM287,KW-2020-PI-03,KW-2020-PI-03,M,0,0,KW-2020-PI-03,1,ECAG1,1,se,0.12,0.12,0.07,0.18,0.26,0,0.04,0.37,0.13,0.11,0.23,0.24,0.24,0.01,0.1
Mittimatalik,2020,2020-08-27,SKIN,CM288,KW-2020-PI-05,KW-2020-PI-05,F,1,0,KW-2020-PI-05,1,ECAG1,,se,0.06,0.25,0.44,0.73,1.33,0.15,0.07,0.28,0.47,0.23,0.13,0.2,0.1,0.16,0.13
Mittimatalik,2020,2020-08-27,SKIN,CM289,KW-2020-PI-06,KW-2020-PI-06,F,2,0,KW-2020-PI-05,1,ECAG1,1,se,0.01,0.08,0.31,0.32,0.38,0.1,0.04,0.25,0.14,0.26,0.05,0.22,0.07,0.05,0.45
Mittimatalik,2020,2020-08-27,SKIN,CM290,KW-2020-PI-07,KW-2020-PI-07,F,0,0,KW-2020-PI-07,1,ECAG1,1,se,0.02,0.35,0.28,0.92,1.94,0.27,0.16,0.33,0.46,0.52,0.3,0.28,0.25,0.26,0.04
Mittimatalik,2020,2020-08-27,SKIN,CM291,KW-2020-PI-08,KW-2020-PI-08,F,0,0,KW-2020-PI-08,1,ECAG1,1,se,0.11,0.36,0.26,0.37,2.21,0.01,0.02,0.52,0.31,0.44,0.23,0.48,0.17,0.13,0.01
Mittimatalik,2020,2020-08-28,SKIN,CM292,KW-2020-PI-10,KW-2020-PI-10,M,0,0,KW-2020-PI-10,1,ECAG1,1,se,0.03,0.24,0.34,0.3,2.89,0.2,0.07,0.49,0.29,0.29,0.23,0.19,0.14,0.38,0.02
Mittimatalik,2020,2020-08-28,SKIN,CM293,KW-2020-PI-12,KW-2020-PI-12,F,0,0,KW-2020-PI-12,1,ECAG1,1,se,0.27,0.25,0.28,0.35,1.44,0.12,0.42,0.17,0.48,0.3,0.33,0.33,0.32,0.28,1.34
Mittimatalik,2020,2020-09-04,SKIN,CM294,KW-2020-PI-13,KW-2020-PI-13,M,0,0,KW-2020-PI-13,1,ECAG1,1,se,0.34,0.38,0.27,1.07,1.24,0.39,0.33,1.02,0.23,0.18,0.4,0.38,0.39,0.78,0.62
Mittimatalik,2020,2020-09-04,SKIN,CM295,KW-2020-PI-14,KW-2020-PI-14,M,0,0,KW-2020-PI-14,1,ECAG1,1,se,0.05,0.1,0.18,0.6,1.54,0.18,0.08,1.39,0.32,0.21,0.25,0.21,0.38,1.36,0.3
Mittimatalik,2020,2020-09-04,SKIN,CM296,KW-2020-PI-15,KW-2020-PI-15,F,0,0,KW-2020-PI-15,1,ECAG1,1,se,0.41,0.14,0.29,0.35,0.6,0.59,0.31,1.28,0.44,0.61,0.09,0.57,0.44,1.15,0.89
Tasiilaq,2012,2012-08-21,SKIN,CM298,48336,48336,F,0,0,48336,1,ECAG2,1,se,0.38,0.46,0.13,0.16,,0.28,0.11,0.26,0.1,0.12,0.01,0.81,0.35,0.03,0.18
Tasiilaq,2012,2012-08-21,SKIN,CM299,48337,48337,M,0,0,48337,1,ECAG2,1,se,1.88,0.34,0.23,0.78,,0.21,0.51,0.19,0.96,0.92,0.7,0.46,0.53,0.37,0.46
Tasiilaq,2012,2012-08-21,SKIN,CM300,48338,48338,F,0,0,48338,1,ECAG2,,se,0.26,0.07,0.25,0.13,,0.01,0.12,0.04,0.41,0.23,0.26,0.34,0.12,0.29,0.24
Tasiilaq,2012,2012-08-21,SKIN,CM301,48339,48339,M,0,0,48339,1,ECAG2,,se,0.99,0.03,0.17,0.18,,0.03,0.15,0.23,0.15,0.21,0.05,0.15,0.34,0.11,0.27
Tasiilaq,2012,2012-08-21,SKIN,CM302,48341,48341,M,0,0,48341,1,ECAG2,1,se,0.32,0.2,0.05,0.28,,0.05,0.06,0.64,0.1,0.11,0.27,0.38,0.41,0.02,0.23
Tasiilaq,2012,2012-08-21,SKIN,CM303,48342,48342,F,0,0,48342,1,ECAG2,1,se,0.06,0.12,0.82,0.12,,0.23,0.24,0.27,0.66,0.3,0.53,0.24,0.09,0.38,0.24
Mittimatalik,2018,2018-08-27,SKIN,CM306,ARPI-2018-01,ARPI-2018-01,F,0,0,ARPI-2018-01,1,ECAG1,1,se,1.03,0.05,0.21,0.06,,0.16,0.13,0.12,0.06,0,0.01,0.04,0.04,0.01,0.06
Mittimatalik,2018,2018-08-27,SKIN,CM307,ARPI-2018-02 ,ARPI-2018-02 ,M,0,2,ARPI-2018-02 ,1,ECAG1,,se,0.12,0.21,0.09,0.26,,0.01,0.04,0.18,0.08,0.05,0.05,0.04,0.21,0.21,0.01
Mittimatalik,2018,2018-08-27,SKIN,CM308,ARPI-2018-03 ,ARPI-2018-03 ,M,0,0,ARPI-2018-03 ,0,ECAG1,,se,0.14,0.17,0.05,0.05,,0.2,0.08,0.05,0,0.12,0.1,0.54,0.14,0.04,0.04
Mittimatalik,2018,2018-08-27,SKIN,CM309,ARPI-2018-05 ,ARPI-2018-05 ,F,0,0,ARPI-2018-05 ,0,ECAG1,,se,0.11,0.14,0.06,0.23,,0.06,0.01,0.07,0.24,0.13,0.09,0.28,0.24,0.01,0.12
Mittimatalik,2018,2018-08-27,SKIN,CM310,ARPI-2018-06,ARPI-2018-06,F,0,0,ARPI-2018-06,0,ECAG1,,se,0.03,0.31,0.05,0.15,,0.07,0.16,0.27,0.22,0.21,0.12,0.28,0.08,0,0.11
Mittimatalik,2018,2018-09-08,SKIN,CM311,ARPI-2018-10,ARPI-2018-10,F,0,0,ARPI-2018-10,1,ECAG1,1,se,0.05,0.09,0.01,0.1,,0.08,0.07,0.38,0.08,0.18,0.07,0.3,0.13,0.43,0.14
Mittimatalik,2018,2018-09-08,SKIN,CM312,ARPI-2018-13,ARPI-2018-13,F,0,1,ARPI-2018-13,1,ECAG1,,se,0.12,0.19,0.1,0.03,,0.07,0.09,0.05,1.35,0.17,0.13,0.61,0.14,0.1,0.06
Mittimatalik,2018,2018-09-10,SKIN,CM313,ARPI-2018-15,ARPI-2018-15,M,0,0,ARPI-2018-15,1,ECAG1,1,se,0.14,0.19,0.24,0.06,,0.2,0.23,0.04,0.26,0.11,0.09,0.24,0.46,0.23,0.23
Mittimatalik,2018,2018-09-10,SKIN,CM314,ARPI-2018-18,ARPI-2018-18,M,0,0,ARPI-2018-18,1,ECAG1,1,se,0.01,0.38,0.61,0.05,,0.05,0.11,0.44,0.53,0.32,0.48,0.2,0.41,0.36,0.02
Mittimatalik,2019,2019-08-18,SKIN,CM315,ARPI-2019-01,ARPI-2019-01,M,0,0,ARPI-2019-01,1,ECAG1,1,se,0.02,0.03,0.42,0.16,,0.12,0.06,0.23,0.63,0.17,0.17,0.3,0.16,0.02,0.05
Mittimatalik,2019,2019-08-18,SKIN,CM316,ARPI-2019-02,ARPI-2019-02,M,0,0,ARPI-2019-02,1,ECAG1,1,se,0.17,0.2,0.1,0.27,,0.15,0.27,0.18,0.1,0.07,0.06,0.11,0.01,0.03,0.12
Mittimatalik,2019,2019-08-18,SKIN,CM317,ARPI-2019-03 ,ARPI-2019-03 ,M,0,0,ARPI-2019-03 ,1,ECAG1,1,se,0.46,0.06,0.1,0.33,,0.01,0.18,0.42,0.07,0.05,0.12,0.73,0.35,0.07,0.26
Mittimatalik,2019,2019-08-19,SKIN,CM318,ARPI-2019-04,ARPI-2019-04,F,0,0,ARPI-2019-04,1,ECAG1,1,se,0.35,0.13,0.31,0.73,,0.21,0.24,0.08,0.12,0.11,0.09,0.13,0.12,0.28,0.13
Mittimatalik,2019,2019-08-21,SKIN,CM319,ARPI-2019-06,ARPI-2019-06,F,0,0,ARPI-2019-06,1,ECAG1,1,se,0.49,0.28,0.11,0.62,,0.06,0.02,0.02,0.27,0.06,0.16,0.33,0.06,0.05,0.01
Mittimatalik,2019,2019-08-21,SKIN,CM320,ARPI-2019-07,ARPI-2019-07,M,0,0,ARPI-2019-07,1,ECAG1,1,se,0.94,0.15,0.17,0,,0.09,0.13,0.25,0.53,0.27,0.26,0.64,0.3,0.03,0.14
Mittimatalik,2019,2019-08-29,SKIN,CM321,ARPI-2019-08,ARPI-2019-08,M,0,0,ARPI-2019-08,1,ECAG1,1,se,0.16,0.1,0.02,0.32,,0.2,0.18,0.07,0.17,0,0.05,0.04,0.05,0.13,0.04
Mittimatalik,2019,2019-08-29,SKIN,CM322,ARPI-2019-09,ARPI-2019-09,F,0,0,ARPI-2019-09,1,ECAG1,1,se,0.61,0.64,0.47,0.74,,0.3,0.21,0.39,0.48,0.38,0.4,0.3,0.27,0.19,0.37
Mittimatalik,2019,2019-08-29,SKIN,CM323,ARPI-2019-10,ARPI-2019-10,M,0,0,ARPI-2019-10,1,ECAG1,1,se,0.42,0.17,0.09,0.34,,0.26,0.13,0.03,0.58,0.04,0.1,0.08,0.37,0.21,0.15
Mittimatalik,2019,2019-08-29,SKIN,CM324,ARPI-2019-11,ARPI-2019-11,F,0,0,ARPI-2019-11,1,ECAG1,1,se,0.22,0.09,0.07,0.09,,0.19,0.13,0.09,0.31,0.04,0.24,0.06,0.16,0.18,0.03
Ittoqqortoormiit,2021,,SKIN,CM325,GRNL-KW-2021-01,GRNL-KW-2021-01,F,0,0,GRNL-KW-2021-01,1,ECAG1,1,se,0.02,0.4,0.25,0.16,,0.26,0.08,0.23,0.1,0.37,0.12,0.23,0.1,0.05,0.13
Nuuk,2021,2021-11-25,SKIN,CM326,GRNL-KW-2021-02,GRNL-KW-2021-02,F,0,0,GRNL-KW-2021-02,1,ECAG2,1,se,0.13,0,0.03,0.41,,0.15,0.09,0.04,0.26,0.22,0.25,0.05,0.12,0.01,0.22
Ittoqqortoormiit,2021,,SKIN,CM327,GRNL-KW-2021-03,GRNL-KW-2021-03,M,0,0,GRNL-KW-2021-03,1,ECAG1,1,se,0.64,0.41,0.56,0.06,,0.07,0.11,0.1,0,0.12,0.56,0.32,0.2,0.38,0.09
Pangnirtung,2021,2021-08-19,SKIN,CM328,KW-2021-PG-03,Kw-2021-PG-03,M,0,1,KW-2020-PG-01,1,ECAG1,1,se,0.41,0.11,0.09,0.34,,0.21,0.1,0.36,0.27,0.26,0.23,0.13,0.02,0.54,0.13
Pangnirtung,2021,2021-08-19,SKIN,CM329,KW-2021-PG-04,Kw-2021-PG-04,F,0,0,Kw-2021-PG-04,1,ECAG1,1,se,0.37,0.28,0.07,0.12,,0.09,0.26,0.07,0.09,0.07,0.1,0.46,0.04,0.14,0.13
Pangnirtung,2021,2021-08-19,SKIN,CM330,KW-2021-PG-05,Kw-2021-PG-05,F,0,1,KW-2020-PG-03,1,ECAG1,1,se,0.12,0.12,0.12,0.02,,0.1,0.23,0.3,0.04,0.11,0.11,0.28,0.29,0.69,0.23
Pangnirtung,2021,2021-08-29,SKIN,CM331,KW-2021-PG-06,Kw-2021-PG-06,M,0,1,ARPI-2018-02 ,1,ECAG1,1,se,0.17,0.23,0.61,0.11,,0.09,0.05,0.24,0.33,0.07,0.01,0.51,0.11,0.07,0
Pangnirtung,2021,,SKIN,CM332,KW-2021-PG-08,Kw-2021-PG-08,M,1,2,ARPI4005,1,ECAG1,,se,0.42,0.01,0.19,0.07,,0.19,0.29,0.46,0.25,0.26,0.05,0.28,0.06,0.24,0.01
Pangnirtung,2021,,SKIN,CM333,KW-2021-PG-XX,Kw-2021-PG-XX,M,2,3,ARPI4005,1,ECAG1,1,se,0.13,0,0.02,0.16,,0.03,0.07,0.31,0.2,0.2,0.01,0.46,0.42,0.14,0.2
St. P & M,2021,2021-06-25,SKIN,CM334,OR21-1,OR21-1,F,0,0,OR21-1,1,ECAG1,1,se,0.16,0.18,0.12,0.09,,0.11,0.1,0.13,0.82,0.27,0.26,0.08,0.13,0.18,0.16
St. P & M,2021,2021-06-25,SKIN,CM335,OR21-2,OR21-2,M,0,0,OR21-2,1,ECAG1,1,se,0.18,0.34,0.63,0.42,,0.09,0.32,0.38,0.11,0.06,0.33,0.32,0.71,0.28,0.3
St. P & M,2021,2021-06-25,SKIN,CM336,OR21-3,OR21-3,M,0,0,OR21-3,1,ECAG1,1,se,0.12,0.09,0.3,0.08,,0.17,0.07,0.49,0.48,0.32,0.17,0.06,0.08,0.31,0.21
Mittimatalik,2022,2022-10-10,SKIN,CM337,KW-2022-PI-01,KW-2022-PI-01,F,0,2,ARPI-2018-13,1,ECAG1,1,se,0.09,0.44,0.53,0.26,,0.01,0.2,0.4,0.83,0.29,0.36,0.57,0.31,0.65,0.25
Newfoundland,2022,,SKIN,CM297,KW-Nfld-22-25,KW-Nfld-22-25,M,0,0,KW-Nfld-22-25,1,ECAG1,1,se,0.07,0.12,0.43,0.18,,0.14,0.05,0.52,0.37,0.15,0.26,0.03,0.46,0.07,0.09
