Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,His,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Pangnirtung,2020,2020-08-26,SKIN,CM278,KW-2020-PG-17,KW-2020-PG-17,M,1,0,KW-2020-PG-17,1,ECAG1,1,mean,-20.21,-13.57,-16.07,-9.3,-4.12,-16.68,-25.65,-18.13,-22.09,-27.16,-12.87,-6.56,-6.15,-25.92,-16.61
Pangnirtung,2020,2020-08-26,SKIN,CM279,KW-2020-PG-18,KW-2020-PG-18,F,2,3,ARPI4006,1,ECAG1,,mean,-18.63,-12.73,-15.62,-8.32,-3.13,-16.36,-25.17,-18.12,-22.15,-27.2,-12.93,-4.35,-6.05,-25.62,-16.09
Pangnirtung,2020,2020-08-26,SKIN,CM280,KW-2020-PG-19,KW-2020-PG-19,F,2,0,KW-2020-PG-09,1,ECAG1,,mean,-19.29,-12.84,-15.7,-9.53,-4.04,-16.35,-25.13,-18.69,-22.16,-27.31,-12.63,-5.84,-6.07,-26.56,-15.88
Pangnirtung,2020,2020-08-26,SKIN,CM281,KW-2020-PG-20,KW-2020-PG-20,M,2,0,KW-2020-PG-04,1,ECAG1,1,mean,-19.22,-12.14,-15.38,-9.44,-3.2,-16.36,-25.11,-17.71,-22.48,-27.09,-13,-5.59,-5.63,-25.4,-15.93
Pangnirtung,2020,2020-08-26,SKIN,CM282,KW-2020-PG-21,KW-2020-PG-21,F,0,2,ARPI4001,1,ECAG1,,mean,-18.14,-12.35,-14.98,-8.26,-3.53,-15.91,-24.95,-17.13,-21.88,-26.75,-12.39,-4.22,-5.74,-25.19,-15.84
Pangnirtung,2020,2020-08-26,SKIN,CM283,KW-2020-PG-22,KW-2020-PG-22,F,0,0,KW-2020-PG-22,1,ECAG1,1,mean,-18.81,-12.93,-15.67,-9.21,-4.17,-15.89,-25.18,-17.25,-21.85,-26.78,-12.13,-5.97,-5.9,-25.19,-16.26
Pangnirtung,2020,2020-08-30,SKIN,CM284,KW-2020-PG-23,KW-2020-PG-23,M,2,0,KW-2020-PG-17,1,ECAG1,,mean,-18.68,-13.65,-16.2,-9.68,-6.15,-15.95,-25.28,-18.9,-22.48,-27.35,-12.88,-6.64,-6.12,-26.5,-16.35
Pangnirtung,2020,2020-08-30,SKIN,CM285,KW-2020-PG-24,KW-2020-PG-24,M,0,0,KW-2020-PG-24,1,ECAG1,1,mean,-18.63,-12.65,-15.41,-8.08,-2.25,-15.67,-24.52,-16.83,-21.17,-26.62,-12.34,-5.59,-5.13,-26.33,-16
Mittimatalik,2020,2020-08-18,SKIN,CM286,KW-2020-PI-02,KW-2020-PI-02,F,0,0,KW-2020-PI-02,1,ECAG1,1,mean,-18.14,-12.83,-15.25,-7.84,-3.36,-15.75,-24.89,-17.36,-21.87,-27.01,-12.39,-5.32,-6.05,-26.28,-16.09
Mittimatalik,2020,2020-08-27,SKIN,CM287,KW-2020-PI-03,KW-2020-PI-03,M,0,0,KW-2020-PI-03,1,ECAG1,1,mean,-18.39,-12.72,-15.41,-9.03,-1.76,-15.14,-24.33,-17.48,-22.02,-26.9,-12.65,-5.7,-5.65,-25.47,-15.89
Mittimatalik,2020,2020-08-27,SKIN,CM288,KW-2020-PI-05,KW-2020-PI-05,F,1,0,KW-2020-PI-05,1,ECAG1,,mean,-19.9,-13.63,-16.4,-10.08,-2.72,-15.54,-25.49,-18.04,-21.53,-27.37,-13.2,-6.93,-6.08,-26.04,-16.68
Mittimatalik,2020,2020-08-27,SKIN,CM289,KW-2020-PI-06,KW-2020-PI-06,F,2,0,KW-2020-PI-05,1,ECAG1,1,mean,-19.29,-13.25,-16.32,-8.61,-1.71,-15.33,-25.24,-17.73,-21.44,-27.14,-13.18,-6.81,-5.7,-26.13,-16.66
Mittimatalik,2020,2020-08-27,SKIN,CM290,KW-2020-PI-07,KW-2020-PI-07,F,0,0,KW-2020-PI-07,1,ECAG1,1,mean,-18.32,-11.84,-15.03,-8.49,-3.16,-14.86,-25.07,-17.68,-20.96,-27.03,-11.77,-5.02,-5.15,-26.18,-15.96
Mittimatalik,2020,2020-08-27,SKIN,CM291,KW-2020-PI-08,KW-2020-PI-08,F,0,0,KW-2020-PI-08,1,ECAG1,1,mean,-18.4,-11.94,-15.31,-8.14,-5.66,-15.24,-25.01,-17.87,-20.76,-27.12,-12,-4.72,-5.69,-26.18,-16.02
Mittimatalik,2020,2020-08-28,SKIN,CM292,KW-2020-PI-10,KW-2020-PI-10,M,0,0,KW-2020-PI-10,1,ECAG1,1,mean,-19.4,-12.85,-15.72,-7.88,-4.31,-15.44,-24.4,-17.93,-21.68,-27.33,-12.6,-5.89,-5.95,-26,-16.3
Mittimatalik,2020,2020-08-28,SKIN,CM293,KW-2020-PI-12,KW-2020-PI-12,F,0,0,KW-2020-PI-12,1,ECAG1,1,mean,-18.04,-12.49,-14.6,-4.84,-0.97,-15.65,-25.14,-16.23,-22.5,-27.24,-11.21,-4.44,-4.43,-25.39,-21.41
Mittimatalik,2020,2020-09-04,SKIN,CM294,KW-2020-PI-13,KW-2020-PI-13,M,0,0,KW-2020-PI-13,1,ECAG1,1,mean,-20.44,-13.61,-15.73,-7.91,-0.7,-15.83,-24.3,-17.77,-24.15,-27.02,-12.73,-8.17,-4.24,-25.99,-19.04
Mittimatalik,2020,2020-09-04,SKIN,CM295,KW-2020-PI-14,KW-2020-PI-14,M,0,0,KW-2020-PI-14,1,ECAG1,1,mean,-19.06,-12.45,-15.41,-6.31,-2.41,-15.71,-25.02,-17.67,-22.04,-26.87,-12.34,-5.32,-4.06,-25.96,-19.87
Mittimatalik,2020,2020-09-04,SKIN,CM296,KW-2020-PI-15,KW-2020-PI-15,F,0,0,KW-2020-PI-15,1,ECAG1,1,mean,-19.65,-12.67,-15.62,-7.06,-0.81,-16.11,-25.22,-17.52,-22.09,-27.32,-12.02,-5.79,-5.05,-25.59,-19.83
Tasiilaq,2012,2012-08-21,SKIN,CM298,48336,48336,F,0,0,48336,1,ECAG2,1,mean,-19.71,-15.32,-17.75,-10.29,,-16.08,-26.41,-18.08,-21.14,-26.22,-13.27,-4.45,-4.37,-26.11,-21.38
Tasiilaq,2012,2012-08-21,SKIN,CM299,48337,48337,M,0,0,48337,1,ECAG2,1,mean,-19.57,-14.57,-16.75,-8.29,,-15.49,-26.58,-18.05,-22.88,-26.92,-13.65,-4.52,-4.02,-26.13,-20.84
Tasiilaq,2012,2012-08-21,SKIN,CM300,48338,48338,F,0,0,48338,1,ECAG2,,mean,-19.19,-15.02,-17.13,-9.26,,-15.76,-26.41,-17.75,-21.29,-25.74,-13.07,-4.18,-4.36,-25.73,-21.21
Tasiilaq,2012,2012-08-21,SKIN,CM301,48339,48339,M,0,0,48339,1,ECAG2,,mean,-20.32,-14.84,-16.82,-8.97,,-15.74,-26.31,-18.18,-22.62,-26.03,-13.88,-5.85,-3.54,-26.39,-21.06
Tasiilaq,2012,2012-08-21,SKIN,CM302,48341,48341,M,0,0,48341,1,ECAG2,1,mean,-18.95,-14.3,-16.88,-8.6,,-15.86,-26.77,-17.72,-22.51,-26.82,-13.59,-4.88,-4.03,-26,-21.4
Tasiilaq,2012,2012-08-21,SKIN,CM303,48342,48342,F,0,0,48342,1,ECAG2,1,mean,-18.09,-13.93,-15.13,-13.95,,-15.36,-25.55,-17.42,-20.02,-25.46,-14.53,-9.23,-3.19,-25.64,-20.01
Mittimatalik,2018,2018-08-27,SKIN,CM306,ARPI-2018-01,ARPI-2018-01,F,0,0,ARPI-2018-01,1,ECAG1,1,mean,-17.24,-12.84,-16,-5.42,,-14.82,-25.12,-17.8,-22.24,-26.28,-12.8,-3.5,-3.05,-25.78,-20.96
Mittimatalik,2018,2018-08-27,SKIN,CM307,ARPI-2018-02 ,ARPI-2018-02 ,M,0,2,ARPI-2018-02 ,1,ECAG1,,mean,-17.34,-14.01,-16.07,-6.7,,-14.78,-25,-18.56,-22.9,-26.56,-13.75,-4.08,-2.43,-26.54,-20.34
Mittimatalik,2018,2018-08-27,SKIN,CM308,ARPI-2018-03 ,ARPI-2018-03 ,M,0,0,ARPI-2018-03 ,0,ECAG1,,mean,-18.39,-13.75,-16.18,-5.81,,-15.52,-24.76,-17.89,-20.69,-26.54,-12.49,-4.36,-3.37,-26.07,-20.23
Mittimatalik,2018,2018-08-27,SKIN,CM309,ARPI-2018-05 ,ARPI-2018-05 ,F,0,0,ARPI-2018-05 ,0,ECAG1,,mean,-17.77,-12.87,-15.53,-6.07,,-14.98,-25.01,-17.65,-21.02,-26.81,-12.5,-4.81,-3.52,-26.18,-20.96
Mittimatalik,2018,2018-08-27,SKIN,CM310,ARPI-2018-06,ARPI-2018-06,F,0,0,ARPI-2018-06,0,ECAG1,,mean,-16.1,-13.03,-14.69,-4.27,,-14.74,-24.35,-16.76,-20.87,-26.24,-12.15,-2.96,-2.67,-25.28,-19.55
Mittimatalik,2018,2018-09-08,SKIN,CM311,ARPI-2018-10,ARPI-2018-10,F,0,0,ARPI-2018-10,1,ECAG1,1,mean,-15.99,-12.71,-15.14,-5.58,,-15.03,-24.62,-17.25,-21.59,-26.38,-12.67,-3.28,-3.36,-25.88,-20.19
Mittimatalik,2018,2018-09-08,SKIN,CM312,ARPI-2018-13,ARPI-2018-13,F,0,1,ARPI-2018-13,1,ECAG1,,mean,-17.44,-13,-15.25,-6.36,,-14.92,-24.68,-17.58,-23.22,-26.48,-12.83,-3.53,-2.35,-25.9,-20.69
Mittimatalik,2018,2018-09-10,SKIN,CM313,ARPI-2018-15,ARPI-2018-15,M,0,0,ARPI-2018-15,1,ECAG1,1,mean,-18.25,-14.03,-16.63,-7.05,,-15.36,-25.04,-17.26,-20.98,-26.5,-12.94,-4.11,-2.92,-26.11,-20.04
Mittimatalik,2018,2018-09-10,SKIN,CM314,ARPI-2018-18,ARPI-2018-18,M,0,0,ARPI-2018-18,1,ECAG1,1,mean,-16.62,-13.14,-14.99,-4.95,,-14.66,-24.62,-17.42,-22.68,-27.14,-13.14,-3.54,-3.23,-26.31,-19.1
Mittimatalik,2019,2019-08-18,SKIN,CM315,ARPI-2019-01,ARPI-2019-01,M,0,0,ARPI-2019-01,1,ECAG1,1,mean,-19.19,-14.27,-17.23,-7.73,,-15.24,-25.77,-18.7,-21.71,-27.54,-13.63,-6.08,-4.47,-27.01,-20.51
