Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Pangnirtung,2020,2020-08-30,SKIN,CM284,KW-2020-PG-23,KW-2020-PG-23,M,2,0,KW-2020-PG-17,1,ECAG1,,mean,23.978,21.79,24.705,10.474,23.9195,25.2795,6.6085,16.823,14.2995,31.2215,17.521,-41.2585,9.193,27.132
Pangnirtung,2020,2020-08-30,SKIN,CM285,KW-2020-PG-24,KW-2020-PG-24,M,0,0,KW-2020-PG-24,1,ECAG1,1,mean,24.104,21.474,24.75,6.4245,24.086,25.7055,8.4745,17.6825,15.995,32.8455,17.623,-43.678,10.8735,27.043
Mittimatalik,2020,2020-08-18,SKIN,CM286,KW-2020-PI-02,KW-2020-PI-02,F,0,0,KW-2020-PI-02,1,ECAG1,1,mean,24.485,19.7075,22.341,6.339,24.1925,23.7165,5.9275,14.7845,12.9085,31.2265,14.7505,-44.344,8.7135,25.664
Mittimatalik,2020,2020-08-27,SKIN,CM287,KW-2020-PI-03,KW-2020-PI-03,M,0,0,KW-2020-PI-03,1,ECAG1,1,mean,22.998,19.959,22.968,6.5465,24.1135,24.069,5.86,16.0415,13.3675,30.714,15.1035,-42.082,8.158,25.7785
Mittimatalik,2020,2020-08-27,SKIN,CM288,KW-2020-PI-05,KW-2020-PI-05,F,1,0,KW-2020-PI-05,1,ECAG1,,mean,22.8805,21.242,23.5495,7.034,23.0835,24.483,6.406,15.7875,16.14,32.9795,15.8355,-40.1475,8.066,25.733
Mittimatalik,2020,2020-08-27,SKIN,CM289,KW-2020-PI-06,KW-2020-PI-06,F,2,0,KW-2020-PI-05,1,ECAG1,1,mean,23.332,21.65,24.25,6.1885,24.6985,25.05,9.3935,17.173,16.4005,33.3545,16.2335,-40.4585,9.731,26.302
Mittimatalik,2020,2020-08-27,SKIN,CM290,KW-2020-PI-07,KW-2020-PI-07,F,0,0,KW-2020-PI-07,1,ECAG1,1,mean,23.746,21.3705,24.4455,4.6195,24.645,25.189,6.916,15.2265,14.949,33.9575,15.622,-42.4715,9.4555,26.1795
Mittimatalik,2020,2020-08-27,SKIN,CM291,KW-2020-PI-08,KW-2020-PI-08,F,0,0,KW-2020-PI-08,1,ECAG1,1,mean,23.1785,20.911,23.3675,3.202,23.572,23.6885,6.0445,15.1925,15.539,33.243,14.711,-45.853,8.3555,24.9625
Mittimatalik,2020,2020-08-28,SKIN,CM292,KW-2020-PI-10,KW-2020-PI-10,M,0,0,KW-2020-PI-10,1,ECAG1,1,mean,22.8435,21.03,23.213,6.3555,24.497,24.3075,5.73,15.1715,13.9085,30.9305,15.685,-43.974,8.5225,25.8025
Mittimatalik,2020,2020-08-28,SKIN,CM293,KW-2020-PI-12,KW-2020-PI-12,F,0,0,KW-2020-PI-12,1,ECAG1,1,mean,21.426,20.192,23.9895,2.4135,24.2115,24.593,8.067,16.301,13.815,32.0175,13.3515,-45.4525,6.939,25.809
Mittimatalik,2020,2020-09-04,SKIN,CM294,KW-2020-PI-13,KW-2020-PI-13,M,0,0,KW-2020-PI-13,1,ECAG1,1,mean,23.246,22.592,25.735,0.4095,26.028,25.608,8.8985,16.141,14.5315,32.817,17.0105,-44.003,8.3705,25.923
Mittimatalik,2020,2020-09-04,SKIN,CM295,KW-2020-PI-14,KW-2020-PI-14,M,0,0,KW-2020-PI-14,1,ECAG1,1,mean,22.7335,21.7925,25.433,8.5715,24.561,25.1675,8.9615,15.8345,14.405,32.4755,16.645,-43.5525,9.0545,26.2625
Mittimatalik,2020,2020-09-04,SKIN,CM296,KW-2020-PI-15,KW-2020-PI-15,F,0,0,KW-2020-PI-15,1,ECAG1,1,mean,21.908,20.656,24.3845,4.2385,23.869,24.141,9.15,16.8595,15.992,32.9375,15.1555,-43.9335,8.576,25.644
Tasiilaq,2012,2012-08-21,SKIN,CM298,48336,48336,F,0,0,48336,1,ECAG2,1,mean,22.61,21.5645,25.998,8.3745,25.54,24.304,8.2315,13.676,13.4145,33.0235,15.601,-39.74,7.2635,26.942
Tasiilaq,2012,2012-08-21,SKIN,CM299,48337,48337,M,0,0,48337,1,ECAG2,1,mean,23.7775,22.2525,26.6435,1.553,27.378,26.0585,8.7005,14.128,12.431,34.048,14.2025,-41.9795,7.7995,27.9575
Tasiilaq,2012,2012-08-21,SKIN,CM300,48338,48338,F,0,0,48338,1,ECAG2,,mean,21.875,21.754,25.577,5.6225,26.0275,24.7465,8.3005,15.2835,13.3215,33.494,15.148,-37.7495,8.452,26.825
Tasiilaq,2012,2012-08-21,SKIN,CM301,48339,48339,M,0,0,48339,1,ECAG2,,mean,22.646,20.7665,24.7545,6.6275,24.683,24.0695,7.855,14.306,11.911,32.2415,15.2295,-37.051,7.0085,26.9615
Tasiilaq,2012,2012-08-21,SKIN,CM302,48341,48341,M,0,0,48341,1,ECAG2,1,mean,21.992,20.756,25.9465,3.0815,26.1345,24.341,8.0665,13.435,12.6785,32.1055,14.5075,-41.311,6.3405,27.379
Tasiilaq,2012,2012-08-21,SKIN,CM303,48342,48342,F,0,0,48342,1,ECAG2,1,mean,24.8765,24.1025,26.352,14.75,27.3865,26.606,9.4845,17.3145,14.213,28.5445,19.7645,-42.809,9.7325,28.441
Mittimatalik,2018,2018-08-27,SKIN,CM306,ARPI-2018-01,ARPI-2018-01,F,0,0,ARPI-2018-01,1,ECAG1,1,mean,22.1015,19.6265,23.6885,2.8945,26.3015,23.857,7.075,14.729,12.938,31.51,13.749,-47.8545,7.517,26.065
Mittimatalik,2018,2018-08-27,SKIN,CM307,ARPI-2018-02 ,ARPI-2018-02 ,M,0,2,ARPI-2018-02 ,1,ECAG1,,mean,22.5065,20.8975,24.785,6.9865,25.17,24.3815,7.8725,14.0625,12.9925,31.5445,14.304,-47.695,7.5365,27.3865
Mittimatalik,2018,2018-08-27,SKIN,CM308,ARPI-2018-03 ,ARPI-2018-03 ,M,0,0,ARPI-2018-03 ,0,ECAG1,,mean,21.9165,20.9205,24.647,8.459,24.67,23.6165,8.2635,16.4245,17.2145,32.1075,15.619,-45.2285,8.6615,26.749
Mittimatalik,2018,2018-08-27,SKIN,CM309,ARPI-2018-05 ,ARPI-2018-05 ,F,0,0,ARPI-2018-05 ,0,ECAG1,,mean,22.9145,20.5565,25.186,2.5755,27.0415,24.2655,7.648,16.3075,14.9865,33.715,15.325,-45.6895,7.392,25.937
